ID;SESSÃO;NOME_SISTEMA;NOME_CORRIGIDO;SESSÃO_CORRETA
101779;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO NISSIM LAMEN 85GGALINHA;MACARRÃO INSTANTANEO NISSIM LAMEN 85G GALINHA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
101778;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO NISSIM LAMEN 85GGALINHA CAIPI;MACARRÃO INSTANTANEO NISSIM LAMEN 85G GALINHA CAIPIRA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
101774;#02 MERCEARIA - MASSAS;NISSIN LAMEN HOT 85GCALABRESA;MACARRÃO INSTANTANEO NISSIM LAMEN 85G HOT CALABRESA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
215081;#02 MERCEARIA - MASSAS;LAMEN NISSIN HOT 85GCARNE DESFIADA C/;MACARRÃO INSTANTANEO NISSIM LAMEN 85G HOT CARNE DESFIADA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
101775;#02 MERCEARIA - MASSAS;NISSIN LAMEN HOT 85GMEXICANO;MACARRÃO INSTANTANEO NISSIM LAMEN 85G HOT MEXICANO;#02 MERCEARIA - MASSAS INSTANTÂNEAS
101776;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO NISSIM LAMEN 85GLEGUMES;MACARRÃO INSTANTANEO NISSIM LAMEN 85G LEGUMES;#02 MERCEARIA - MASSAS INSTANTÂNEAS
113723;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO NISSIM LAMEN 85GPICANHA;MACARRÃO INSTANTANEO NISSIM LAMEN 85G PICANHA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
294326;#02 MERCEARIA - MASSAS;MACARRÃO INST. NISSIN 85GSABOR GALINHA;MACARRÃO INSTANTANEO NISSIM LAMEN 85G SABOR GALINHA PICANTE;#02 MERCEARIA - MASSAS INSTANTÂNEAS
119768;#02 MERCEARIA - MASSAS;NISSIN LAMEN T MONICA SUAVE 85GCARNE;MACARRÃO INSTANTANEO NISSIM LAMEN 85G TURMA DA MONICA SUAVE CARNE;#02 MERCEARIA - MASSAS INSTANTÂNEAS
101786;#02 MERCEARIA - MASSAS;NISSIN LAMEN T MONICA SUAVE 85GGALINHA;MACARRÃO INSTANTANEO NISSIM LAMEN 85G TURMA DA MONICA SUAVE GALINHA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
101785;#02 MERCEARIA - MASSAS;NISSIN LAMEN T MONICA SUAVE 85GTOMATE;MACARRÃO INSTANTANEO NISSIM LAMEN 85G TURMA DA MONICA SUAVE TOMATE;#02 MERCEARIA - MASSAS INSTANTÂNEAS
230170;#02 MERCEARIA - MASSAS;NISSIN TURMA DO CHIC BENTO CALDO DE FEIJ;MACARRÃO INSTANTANEO NISSIM LAMEN 85G TURMA DO CHICO BENTO CALDO DE FEIJÃO;#02 MERCEARIA - MASSAS INSTANTÂNEAS
101772;#02 MERCEARIA - MASSAS;NISSIN LAMEN CREMOSO 88GR FRANGO CREMOSO;MACARRÃO INSTANTANEO NISSIM LAMEN 88G CREMOSO FRANGO;#02 MERCEARIA - MASSAS INSTANTÂNEAS
237471;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO SANDELLA INFANTIL FRANGO 74G;MACARRÃO INSTANTANEO SANDELLA 74G INFANTIL FRANGO;#02 MERCEARIA - MASSAS INSTANTÂNEAS
